Locus Tag	Entry	Protein names	Gene Names
KIHCAMGN_00001	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00002	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00003	Q47688	Protein YkfC	ykfC b0258 JW5813
KIHCAMGN_00004	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00005	Q9EZE7	Serine protease EspC (EC 3.4.21.-) [Cleaved into: Secreted autotransporter protein EspC (EPEC-secreted protein C); Autotransporter protein EspC translocator]	espC E2348C_2915
KIHCAMGN_00006	P76071	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363
KIHCAMGN_00007	P76071	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363
KIHCAMGN_00008	P76071	Transposase InsH for insertion sequence element IS5Y	insH5 b1370 JW1363
KIHCAMGN_00009	O33921	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)	agp STM1117
KIHCAMGN_00010	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
KIHCAMGN_00011	P09130	Coupling protein TraD (DNA transport protein TraD)	traD ECOK12F102
KIHCAMGN_00012	P19381	Protein TrbH	trbH ECOK12F103
KIHCAMGN_00013	P18355	Uncharacterized protein in traD-traI intergenic region	
KIHCAMGN_00014	P14565	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)]	traI ECOK12F104
KIHCAMGN_00015	P22709	Protein TraX	traX ECOK12F105
KIHCAMGN_00016	P29367	Fertility inhibition protein (Conjugal transfer repressor)	finO
KIHCAMGN_00018	Q99342	Uncharacterized endonuclease (EC 3.1.-.-) (ORFA)	
KIHCAMGN_00021	P62537	Replication regulatory protein repA2 (Protein CopB)	repA2 copB repB CP0258
KIHCAMGN_00022	P03066	Replication initiation protein	repA repA1
KIHCAMGN_00023	P24607	Transposase for insertion sequence element IS801	
KIHCAMGN_00024	G8QM64	Methionine-rich peptide X	mrpX Dsui_0158
KIHCAMGN_00025	G8QM63	Putative protein-methionine-sulfoxide reductase subunit YedZ1	yedY1 Dsui_0157
KIHCAMGN_00026	G8QM62	Putative protein-methionine-sulfoxide reductase subunit YedZ1	yedZ1 Dsui_0156
KIHCAMGN_00027	P94413	Uncharacterized transcriptional regulatory protein YclJ	yclJ BSU03750
KIHCAMGN_00028	P35164	Sensor histidine kinase ResE (EC 2.7.13.3)	resE ypxE BSU23110
KIHCAMGN_00029	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
KIHCAMGN_00030	P0C6E0	Na(+)-translocating NADH-quinone reductase subunit C (Na(+)-NQR subunit C) (Na(+)-translocating NQR subunit C) (EC 7.2.1.1) (NQR complex subunit C) (NQR-1 subunit C)	nqrC VC_2293
KIHCAMGN_00031	P39595	Iron permease EfeU (Fe(3+) ion permease EfeU) (Ferric iron permease EfeU) (Ferric iron uptake protein)	efeU ywbL BSU38280 ipa-27d
KIHCAMGN_00032	Q8YBL4	UPF0423 protein BMEII0885	BMEII0885
KIHCAMGN_00034	Q58902	Uncharacterized ABC transporter permease MJ1507	MJ1507
KIHCAMGN_00035	Q3ATR5	Macrolide export ATP-binding/permease protein MacB (EC 7.6.2.-)	macB Cag_0337
KIHCAMGN_00036	Q58903	Uncharacterized ABC transporter ATP-binding protein MJ1508	MJ1508
KIHCAMGN_00037	Q73B22	Thiol-disulfide oxidoreductase ResA	resA BCE_1598
KIHCAMGN_00038	Q7VM65	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS HD_1133
KIHCAMGN_00039	P19926	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)	agp b1002 JW0987
KIHCAMGN_00040	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
KIHCAMGN_00041	P59444	Transposase InsC for insertion element IS2	insC1 SF0245; insC2 SF0879; insC3 SF0933; insC4 SF0960; insC5 SF1054; insC6 SF1165; insC7 SF1343; insC8 SF1463; insC9 SF1587; insC10 SF2011; insC11 SF2615; insC12 SF2694; insC13 SF2873; insC14 SF2984; insC15 SF3431; insC16 SF3512; insC17 SF3805; insC18 SF3873; insC19 SF3988; insC20 SF4097; insC21 SF4185
KIHCAMGN_00044	P56979	Probable site-specific recombinase	intM int ECOK12F032
KIHCAMGN_00045	P0A253	RepFIB replication protein A	repA repI
KIHCAMGN_00046	Q9JMS1	Uncharacterized protein YuaT	yuaT ydhA ECOK12F034
KIHCAMGN_00047	P15025	Transposase for insertion sequence element IS21	istA
KIHCAMGN_00048	P18642	Protein ImpB	impB
KIHCAMGN_00049	P19766	Insertion element IS1 protein InsB	insB
KIHCAMGN_00050	Q57449	Putative metal-binding protein HI_0362	HI_0362
KIHCAMGN_00051	Q56953	Chelated iron transport system membrane protein YfeB	yfeB YPO2440 y1896 YP_2228
KIHCAMGN_00052	Q56954	Chelated iron transport system membrane protein YfeC	yfeC YPO2441 y1895 YP_2229
KIHCAMGN_00053	Q56955	Chelated iron transport system membrane protein YfeD	yfeD YPO2442 y1894 YP_2230
KIHCAMGN_00055	P0CF10	Insertion element IS1 4 protein InsA (IS1d)	insA4 b4516 JW0971
KIHCAMGN_00056	P19766	Insertion element IS1 protein InsB	insB
KIHCAMGN_00057	P62556	Protein SopA (Plasmid partition protein A)	sopA A ECOK12F046
KIHCAMGN_00058	P62558	Protein SopB (Plasmid partition protein B)	sopB B ECOK12F047
KIHCAMGN_00059	O82900	Uncharacterized protein YubH	yubH L7076.1 ECO57PM41
KIHCAMGN_00061	P59843	Insertion element IS1 protein InsB	insB HD_1970
KIHCAMGN_00062	P19257	Pilin gene-inverting protein (PIVML)	piv
KIHCAMGN_00063	Q9S4W7	Putative antirestriction protein YubI	yubI yfgB ECOK12F057
KIHCAMGN_00064	P0C243	Uncharacterized protein YubJ	yubJ yfhA ECOK12F058
KIHCAMGN_00066	A0A0P0VIP0	L-type lectin-domain containing receptor kinase S.7 (OsLecRK-S.7) (EC 2.7.11.1) (Protein DEFECTIVE IN APERTURE FORMATION 1) (OsDAF1)	LECRKS7 DAF1 Os02g0459600 LOC_Os02g26160
KIHCAMGN_00068	B3EQT0	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA Cphamn1_1177
KIHCAMGN_00071	P28044	Plasmid-derived single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)	ssb
KIHCAMGN_00072	Q5QJF4	UPF0401 protein YubL	yubL
KIHCAMGN_00073	Q9ZGR8	Uncharacterized protein YubM	yubM L7086 ECO57PM50
KIHCAMGN_00074	P10032	Protein PsiB	psiB
KIHCAMGN_00075	P18148	Protein PsiA	psiA ECOK12F064
KIHCAMGN_00076	P13971	Protein sok	sok
KIHCAMGN_00077	P60046	Insertion element IS150 uncharacterized 19.7 kDa protein	IS1501 IS1031 S0497; IS1502 IS1032 S1483
KIHCAMGN_00078	P19769	Putative transposase InsK for insertion sequence element IS150	insK dinS b3558 JW3528
KIHCAMGN_00079	P11895	Protein Hok	hok
KIHCAMGN_00080	P51565	Transposase for transposon Tn1721	tnpA
KIHCAMGN_00081	P62594	Beta-lactamase TEM (EC 3.5.2.6) (Penicillinase)	bla HCM1.216
KIHCAMGN_00082	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
KIHCAMGN_00083	P26837	Uncharacterized protein in sul1 3'region (ORF5)	
KIHCAMGN_00084	P0C003	Dihydropteroate synthase type-1 (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase type I) (Dihydropteroate synthase type I) (DHPS)	sulI
KIHCAMGN_00085	P0C003	Dihydropteroate synthase type-1 (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase type I) (Dihydropteroate synthase type I) (DHPS)	sulI
KIHCAMGN_00086	P0AA23	Putative ethidium bromide resistance protein (E1 protein)	ebr E1
KIHCAMGN_00087	P11731	Dihydrofolate reductase type 5 (EC 1.5.1.3) (Dihydrofolate reductase type V)	dhfrV
KIHCAMGN_00088	P62592	Integrase/recombinase (E2 protein)	int HCM1.167
KIHCAMGN_00089	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
KIHCAMGN_00090	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00091	Q47688	Protein YkfC	ykfC b0258 JW5813
KIHCAMGN_00092	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00093	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00094	P0A1V3	Insertion element IS629 uncharacterized 12 kDa protein	
KIHCAMGN_00095	P15025	Transposase for insertion sequence element IS21	istA
KIHCAMGN_00097	P53516	Chaperone protein AfaB	afaB
KIHCAMGN_00098	P53517	Outer membrane usher protein AfaC	afaC
KIHCAMGN_00099	Q47038	Protein AfaD	afaD
KIHCAMGN_00101	P0CF61	Transposase InsD for insertion element IS2-9	JW5899
KIHCAMGN_00102	P59444	Transposase InsC for insertion element IS2	insC1 SF0245; insC2 SF0879; insC3 SF0933; insC4 SF0960; insC5 SF1054; insC6 SF1165; insC7 SF1343; insC8 SF1463; insC9 SF1587; insC10 SF2011; insC11 SF2615; insC12 SF2694; insC13 SF2873; insC14 SF2984; insC15 SF3431; insC16 SF3512; insC17 SF3805; insC18 SF3873; insC19 SF3988; insC20 SF4097; insC21 SF4185
KIHCAMGN_00103	Q0T8X4	Uncharacterized protein YjiK	yjiK ECP_4669
KIHCAMGN_00104	P0A2T3	Virulence regulon transcriptional activator VirF	virF
KIHCAMGN_00105	P0A2T3	Virulence regulon transcriptional activator VirF	virF
KIHCAMGN_00107	O34451	Uncharacterized ABC transporter permease protein YvrB	yvrB BSU33170
KIHCAMGN_00108	P15031	Fe(3+) dicitrate transport ATP-binding protein FecE (EC 7.2.2.18) (Iron(III) dicitrate transport ATP-binding protein FecE)	fecE b4287 JW4247
KIHCAMGN_00109	P9WJX5	Uncharacterized MFS-type transporter Rv0849	Rv0849
KIHCAMGN_00113	P03848	Uncharacterized protein repA4	repA4
KIHCAMGN_00115	P37414	Uncharacterized protein pSLT049	PSLT049
KIHCAMGN_00116	P50360	Uncharacterized protein y4hP	NGR_a03340 y4hP
KIHCAMGN_00117	P50359	Uncharacterized protein y4hO	NGR_a03350 y4hO
KIHCAMGN_00118	P59444	Transposase InsC for insertion element IS2	insC1 SF0245; insC2 SF0879; insC3 SF0933; insC4 SF0960; insC5 SF1054; insC6 SF1165; insC7 SF1343; insC8 SF1463; insC9 SF1587; insC10 SF2011; insC11 SF2615; insC12 SF2694; insC13 SF2873; insC14 SF2984; insC15 SF3431; insC16 SF3512; insC17 SF3805; insC18 SF3873; insC19 SF3988; insC20 SF4097; insC21 SF4185
KIHCAMGN_00119	P59445	Transposase InsE for insertion sequence IS3	insE1 SF1024 S1094; insE2 SF1166 S1253; insE3 SF2683 S2861; insE4 SF2856 S3055; insE5 SF3005 S3209
KIHCAMGN_00120	P0CF85	Transposase InsF for insertion sequence IS3	insF
KIHCAMGN_00121	Q47688	Protein YkfC	ykfC b0258 JW5813
KIHCAMGN_00122	P75680	Putative transposase InsO for insertion sequence element IS911A	insO1 b0257 JW0247
KIHCAMGN_00123	P16942	Transposase for insertion sequence element IS629	
KIHCAMGN_00124	P55501	Uncharacterized protein y4jA/y4nE/y4sE	NGR_a03150 y4jA; NGR_a02370 y4nE; NGR_a01670 y4sE
KIHCAMGN_00125	P55500	Putative insertion sequence ATP-binding protein y4iQ/y4nD/y4sD	NGR_a03160 y4iQ; NGR_a02380 y4nD; NGR_a01680 y4sD
KIHCAMGN_00126	P0A1V3	Insertion element IS629 uncharacterized 12 kDa protein	
KIHCAMGN_00127	P24607	Transposase for insertion sequence element IS801	
KIHCAMGN_00128	Q8Z740	Uncharacterized protein YncE	yncE STY1479 t1496
KIHCAMGN_00129	P45114	Probable TonB-dependent receptor HI_1217	HI_1217
KIHCAMGN_00130	Q05613	Protein TonB	tonB
KIHCAMGN_00135	P08701	Colicin-Ia immunity protein	
KIHCAMGN_00139	P0A1V3	Insertion element IS629 uncharacterized 12 kDa protein	
