GKGINBJK_00001	sp|Q57449|Y362_HAEIN	67.391	276	90	0	64	891	16	291	7.71e-142	404
GKGINBJK_00001	sp|A4N8V8|HPF_HAEI3	67.391	276	90	0	64	891	16	291	7.71e-142	404
GKGINBJK_00001	sp|Q56952|YFEA_YERPE	62.284	289	107	1	31	891	21	309	1.36e-137	394
GKGINBJK_00001	sp|Q92AG1|MNTA_LISIN	35.786	299	181	3	19	891	13	308	3.72e-66	213
GKGINBJK_00001	sp|Q8Y653|MNTA_LISMO	35.974	303	182	3	19	891	6	308	1.62e-65	211
GKGINBJK_00001	sp|P31304|MTSA_STRSA	33.106	293	188	3	37	891	15	307	7.82e-62	201
GKGINBJK_00001	sp|P31305|MTSA_STRPA	33.221	298	190	3	19	891	12	307	7.69e-61	199
GKGINBJK_00001	sp|Q9L5W9|MTSA_STROR	31.507	292	193	2	37	891	16	307	4.92e-59	194
GKGINBJK_00001	sp|Q9L5X1|MTSA_STRAP	31.507	292	193	2	37	891	16	307	5.24e-59	194
GKGINBJK_00001	sp|Q9KFG3|MNTA_HALH5	32.313	294	194	2	19	894	9	299	4.83e-58	191
GKGINBJK_00002	sp|Q56953|YFEB_YERPE	59.507	284	100	3	19	825	11	294	6.50e-119	345
GKGINBJK_00002	sp|P44662|Y361_HAEIN	60.595	269	97	2	10	789	5	273	2.99e-113	331
GKGINBJK_00002	sp|Q55281|MNTA_SYNY3	59.363	251	101	1	19	771	10	259	8.51e-103	303
GKGINBJK_00002	sp|Q9KD30|MNTB_HALH5	42.169	249	138	4	25	771	7	249	1.33e-66	211
GKGINBJK_00002	sp|O34338|MNTB_BACSU	44.068	236	129	2	19	726	4	236	6.06e-65	206
GKGINBJK_00002	sp|P96117|TROB_TREPA	44.255	235	128	2	16	720	10	241	3.07e-63	202
GKGINBJK_00002	sp|Q92AF9|MNTB_LISIN	40.000	230	135	2	25	714	3	229	8.90e-61	195
GKGINBJK_00002	sp|Q8Y651|MNTB_LISMO	39.130	230	137	2	25	714	3	229	2.90e-60	194
GKGINBJK_00002	sp|Q9PKX1|Y339_CHLMU	38.261	230	139	2	25	714	11	237	2.71e-55	182
GKGINBJK_00002	sp|P48334|YCXD_CYAPA	40.000	230	135	2	25	714	11	237	4.86e-55	181
GKGINBJK_00003	sp|Q56954|YFEC_YERPE	66.667	276	92	0	1	828	2	277	2.67e-104	308
GKGINBJK_00003	sp|P44661|Y360_HAEIN	63.177	277	102	0	1	831	2	278	1.24e-94	283
GKGINBJK_00003	sp|Q55282|MNTB_SYNY3	47.387	287	143	3	10	855	14	297	8.35e-66	211
GKGINBJK_00003	sp|P44660|Y359_HAEIN	37.643	263	164	0	10	798	5	267	4.72e-47	161
GKGINBJK_00003	sp|Q56955|YFED_YERPE	40.154	259	155	0	16	792	10	268	1.03e-45	159
GKGINBJK_00003	sp|Q92AG0|MNTC_LISIN	38.806	268	164	0	25	828	9	276	5.30e-45	156
GKGINBJK_00003	sp|Q9KD29|MNTC_HALH5	37.050	278	174	1	16	846	10	287	1.31e-43	153
GKGINBJK_00003	sp|Q8Y652|MNTC_LISMO	38.148	270	163	2	25	828	9	276	1.58e-42	150
GKGINBJK_00003	sp|P42361|MTSB_STRGN	32.584	267	180	0	28	828	12	278	1.21e-31	121
GKGINBJK_00003	sp|P31309|MTSB_STRPA	30.435	276	186	1	25	852	11	280	1.45e-30	119
GKGINBJK_00004	sp|Q56955|YFED_YERPE	49.829	293	135	1	1	843	4	296	4.10e-78	242
GKGINBJK_00004	sp|P44660|Y359_HAEIN	51.311	267	130	0	13	813	5	271	4.02e-76	236
