Locus Tag	Entry	Protein names	Gene Names
GKGINBJK_00001	Q57449	Putative metal-binding protein HI_0362	HI_0362
GKGINBJK_00001	A4N8V8	Putative metal ABC transporter substrate-binding protein Hpf (Surface-adhesin protein F)	hpf CGSHi3655_02309
GKGINBJK_00001	Q56952	Iron-binding protein YfeA (Periplasmic chelated iron-binding protein YfeA)	yfeA YPO2439 y1897 YP_2227
GKGINBJK_00001	Q92AG1	Manganese-binding lipoprotein MntA	mntA lin1961
GKGINBJK_00001	Q8Y653	Manganese-binding lipoprotein MntA	mntA lmo1847
GKGINBJK_00001	P31304	Metal ABC transporter substrate-binding lipoprotein SsaB (Adhesin B) (Saliva-binding protein SsaB)	ssaB
GKGINBJK_00001	P31305	Metal ABC transporter substrate-binding lipoprotein FimA (Adhesin B) (FimA) (Saliva-binding protein)	fimA
GKGINBJK_00001	Q9L5W9	Manganese ABC transporter substrate-binding lipoprotein PsaA (Pneumococcal surface adhesin A)	psaA
GKGINBJK_00001	Q9L5X1	Manganese ABC transporter substrate-binding lipoprotein PsaA (Pneumococcal surface adhesin A)	psaA
GKGINBJK_00001	Q9KFG3	Manganese-binding lipoprotein MntA	mntA psaA BH0516
GKGINBJK_00002	Q56953	Chelated iron transport system membrane protein YfeB	yfeB YPO2440 y1896 YP_2228
GKGINBJK_00002	P44662	Probable iron transport system ATP-binding protein HI_0361	HI_0361
GKGINBJK_00002	Q55281	Manganese transport system ATP-binding protein MntA	mntA sll1599
GKGINBJK_00002	Q9KD30	Manganese transport system ATP-binding protein MntB	mntB BH1389
GKGINBJK_00002	O34338	Manganese transport system ATP-binding protein MntB	mntB ytgB BSU30760
GKGINBJK_00002	P96117	Zinc transport system ATP-binding protein TroB	troB TP_0164
GKGINBJK_00002	Q92AF9	Manganese transport system ATP-binding protein MntB	mntB lin1963
GKGINBJK_00002	Q8Y651	Manganese transport system ATP-binding protein MntB	mntB lmo1849
GKGINBJK_00002	Q9PKX1	Probable metal transport system ATP-binding protein TC_0339	TC_0339
GKGINBJK_00002	P48334	Probable ABC transporter ATP-binding protein in ycf23-apcF intergenic region (ORF244)	
GKGINBJK_00003	Q56954	Chelated iron transport system membrane protein YfeC	yfeC YPO2441 y1895 YP_2229
GKGINBJK_00003	Q56954	Chelated iron transport system membrane protein YfeC	yfeC YPO2441 y1895 YP_2229
GKGINBJK_00003	P44661	Probable iron transport system membrane protein HI_0360	HI_0360
GKGINBJK_00003	P44661	Probable iron transport system membrane protein HI_0360	HI_0360
GKGINBJK_00003	Q55282	Manganese transport system membrane protein MntB	mntB sll1600
GKGINBJK_00003	Q55282	Manganese transport system membrane protein MntB	mntB sll1600
GKGINBJK_00003	P44660	Probable iron transport system membrane protein HI_0359	HI_0359
GKGINBJK_00003	P44660	Probable iron transport system membrane protein HI_0359	HI_0359
GKGINBJK_00003	Q56955	Chelated iron transport system membrane protein YfeD	yfeD YPO2442 y1894 YP_2230
GKGINBJK_00003	Q56955	Chelated iron transport system membrane protein YfeD	yfeD YPO2442 y1894 YP_2230
GKGINBJK_00003	Q92AG0	Manganese transport system membrane protein MntC	mntC lin1962
GKGINBJK_00003	Q92AG0	Manganese transport system membrane protein MntC	mntC lin1962
GKGINBJK_00003	Q9KD29	Manganese transport system membrane protein MntC	mntC BH1390
